concept	property	prop_count	pos_tag	is_only_adj
singapore	financial	212	[('financial', 'JJ')]	True
whole grain	good	61	[('good', 'JJ')]	True
dallas	big	266	[('big', 'JJ')]	True
menu	authentic	23	[('authentic', 'JJ')]	True
high performance liquid chromatography	analytical	77	[('analytical', 'JJ')]	True
conference calling	advanced	233	[('advanced', 'JJ')]	True
ireland	international	277	[('international', 'JJ')]	True
cube	regular	82	[('regular', 'JJ')]	True
city	large	852	[('large', 'JJ')]	True
nitrogen	environmental	592	[('environmental', 'JJ')]	True
serum	real	43	[('real', 'JJ')]	True
population density	exogenous	40	[('exogenous', 'JJ')]	True
body mass index	potential	99	[('potential', 'JJ')]	True
mtv	global	202	[('global', 'JJ')]	True
paperwork	heavy	207	[('heavy', 'JJ')]	True
bungee jumping	adventurous	20	[('adventurous', 'JJ')]	True
office building	large	852	[('large', 'JJ')]	True
gas	economic	142	[('economic', 'JJ')]	True
longitude	geographic	34	[('geographic', 'JJ')]	True
insect	biotic	17	[('biotic', 'JJ')]	True
social skill	basic	667	[('basic', 'JJ')]	True
hplc	instrumental	11	[('instrumental', 'JJ')]	True
throat	sensitive	195	[('sensitive', 'JJ')]	True
shock	medical	456	[('medical', 'JJ')]	True
healthcare	complex	256	[('complex', 'JJ')]	True
excipient	optional	126	[('optional', 'JJ')]	True
pub	local	332	[('local', 'JJ')]	True
x ray diffraction	conventional	429	[('conventional', 'JJ')]	True
australia	capitalist economic	5	[('capitalist', 'JJ'), ('economic', 'JJ')]	True
natural gas	gaseous	27	[('gaseous', 'JJ')]	True
amount of adsorbent	effective	18	[('effective', 'JJ')]	True
deezer	international	277	[('international', 'JJ')]	True
life	national	122	[('national', 'JJ')]	True
grape	delicious	17	[('delicious', 'JJ')]	True
softball	athletic	32	[('athletic', 'JJ')]	True
blood pressure	conventional	429	[('conventional', 'JJ')]	True
crop residue	lignocellulosic	15	[('lignocellulosic', 'JJ')]	True
salami	italian	28	[('italian', 'JJ')]	True
policy	environmental	592	[('environmental', 'JJ')]	True
peptide	active	130	[('active', 'JJ')]	True
aggression	abnormal	11	[('abnormal', 'JJ')]	True
mayor	political	40	[('political', 'JJ')]	True
integrity	intangible	43	[('intangible', 'JJ')]	True
textbook	unauthorized	5	[('unauthorized', 'JJ')]	True
group	social	388	[('social', 'JJ')]	True
lima bean	healthy	115	[('healthy', 'JJ')]	True
collagen	temporary	54	[('temporary', 'JJ')]	True
ph	electrochemical	15	[('electrochemical', 'JJ')]	True
austria	western	106	[('western', 'JJ')]	True
gneiss	metamorphic	7	[('metamorphic', 'JJ')]	True
stress	environmental	592	[('environmental', 'JJ')]	True
business meeting	unforeseen	24	[('unforeseen', 'JJ')]	True
bank	traditional financial	6	[('traditional', 'JJ'), ('financial', 'JJ')]	True
shopping mall	large	852	[('large', 'JJ')]	True
congestion	external	443	[('external', 'JJ')]	True
glass fiber	modern	309	[('modern', 'JJ')]	True
euthanasia	controversial	22	[('controversial', 'JJ')]	True
electroporation	physical	686	[('physical', 'JJ')]	True
tangerine	fresh	148	[('fresh', 'JJ')]	True
read	basic	667	[('basic', 'JJ')]	True
prolactin	pituitary	6	[('pituitary', 'JJ')]	True
poetry	literary	45	[('literary', 'JJ')]	True
alcohol abuse	addictive	19	[('addictive', 'JJ')]	True
erosion	physical	686	[('physical', 'JJ')]	True
tax	political	40	[('political', 'JJ')]	True
pant	disposable	41	[('disposable', 'JJ')]	True
sedum	small	653	[('small', 'JJ')]	True
peach	fresh	148	[('fresh', 'JJ')]	True
chest x-ray	diagnostic	65	[('diagnostic', 'JJ')]	True
modeling	instructional	22	[('instructional', 'JJ')]	True
trojans	external	443	[('external', 'JJ')]	True
enthusiasm	positive	70	[('positive', 'JJ')]	True
beach	famous	126	[('famous', 'JJ')]	True
carbon fiber	synthetic	126	[('synthetic', 'JJ')]	True
point	graphic	44	[('graphic', 'JJ')]	True
air	renewable	60	[('renewable', 'JJ')]	True
new york times	new	16	[('new', 'JJ')]	True
timber	extractive	10	[('extractive', 'JJ')]	True
government	political	40	[('political', 'JJ')]	True
air conditioning	desirable	29	[('desirable', 'JJ')]	True
water depth	abiotic	71	[('abiotic', 'JJ')]	True
nyc	large	852	[('large', 'JJ')]	True
lawyer	third	74	[('third', 'JJ')]	True
manganese	valuable	127	[('valuable', 'JJ')]	True
potato salad	traditional	682	[('traditional', 'JJ')]	True
field	open	86	[('open', 'JJ')]	True
contest	commercial	172	[('commercial', 'JJ')]	True
flavoring	conventional	429	[('conventional', 'JJ')]	True
cough	typical	82	[('typical', 'JJ')]	True
butyl alcohol	aliphatic	53	[('aliphatic', 'JJ')]	True
liverpool	large	852	[('large', 'JJ')]	True
raisin	common	802	[('common', 'JJ')]	True
iron	beneficial	42	[('beneficial', 'JJ')]	True
homework	quiet	10	[('quiet', 'JJ')]	True
door	external	443	[('external', 'JJ')]	True
grassland	open	86	[('open', 'JJ')]	True
radiofrequency ablation	ablative	5	[('ablative', 'JJ')]	True
hotel	large	852	[('large', 'JJ')]	True
transcription	dynamic	54	[('dynamic', 'JJ')]	True
masonry	durable	64	[('durable', 'JJ')]	True
chondroitin	nutritional	48	[('nutritional', 'JJ')]	True
safeway	large	852	[('large', 'JJ')]	True
florida	southern	60	[('southern', 'JJ')]	True
elephant	african	36	[('african', 'JJ')]	True
topography	regional	56	[('regional', 'JJ')]	True
dimension	complex	256	[('complex', 'JJ')]	True
lane departure warning	advanced	233	[('advanced', 'JJ')]	True
canvas	natural	709	[('natural', 'JJ')]	True
chromatography	conventional	429	[('conventional', 'JJ')]	True
nursing home	residential	11	[('residential', 'JJ')]	True
banana	exotic	119	[('exotic', 'JJ')]	True
property foreclosure	undesirable	45	[('undesirable', 'JJ')]	True
attendance	personal	635	[('personal', 'JJ')]	True
polyolefin	organic	355	[('organic', 'JJ')]	True
memory	electronic	281	[('electronic', 'JJ')]	True
rock	heavy	207	[('heavy', 'JJ')]	True
scabies	parasitic	15	[('parasitic', 'JJ')]	True
facility	local	332	[('local', 'JJ')]	True
edgar degas	famous	126	[('famous', 'JJ')]	True
education	observable	14	[('observable', 'JJ')]	True
enkephalin	endogenous	38	[('endogenous', 'JJ')]	True
dna	scientific	55	[('scientific', 'JJ')]	True
polyimide	organic	355	[('organic', 'JJ')]	True
solution	customary	11	[('customary', 'JJ')]	True
aluminum	paramagnetic	6	[('paramagnetic', 'JJ')]	True
copper	electrical	163	[('electrical', 'JJ')]	True
stomach ulcer	medical	456	[('medical', 'JJ')]	True
polygon	complex	256	[('complex', 'JJ')]	True
silicone rubber	elastic	21	[('elastic', 'JJ')]	True
noise	unpleasant	41	[('unpleasant', 'JJ')]	True
hiking	regular	82	[('regular', 'JJ')]	True
bankruptcy	financial	212	[('financial', 'JJ')]	True
age	physical	686	[('physical', 'JJ')]	True
negligible vapor pressure	physicochemical	72	[('physicochemical', 'JJ')]	True
desert	geographical	32	[('geographical', 'JJ')]	True
plga	synthetic	126	[('synthetic', 'JJ')]	True
screen reader	assistive	15	[('assistive', 'JJ')]	True
urea	functional	143	[('functional', 'JJ')]	True
xanthine oxidase	soluble	36	[('soluble', 'JJ')]	True
parking	nice	15	[('nice', 'JJ')]	True
whole grain bread	common	802	[('common', 'JJ')]	True
cabbage	horticultural	11	[('horticultural', 'JJ')]	True
schist	metamorphic	7	[('metamorphic', 'JJ')]	True
accelerometers	inertial	5	[('inertial', 'JJ')]	True
alarm clock	electronic	281	[('electronic', 'JJ')]	True
heart attack	critical	172	[('critical', 'JJ')]	True
pant	suitable	205	[('suitable', 'JJ')]	True
quiz	interactive	57	[('interactive', 'JJ')]	True
cerebrospinal fluid	clinical	183	[('clinical', 'JJ')]	True
wardrobe	modern	309	[('modern', 'JJ')]	True
raccoon	potential	99	[('potential', 'JJ')]	True
smart card	physical	686	[('physical', 'JJ')]	True
gas	unpleasant	41	[('unpleasant', 'JJ')]	True
coin	small	653	[('small', 'JJ')]	True
egg	natural	709	[('natural', 'JJ')]	True
arsenic	hazardous	102	[('hazardous', 'JJ')]	True
indoor pool	great	178	[('great', 'JJ')]	True
gymnasium	common	802	[('common', 'JJ')]	True
facial expression	visual	96	[('visual', 'JJ')]	True
rotary club	local	332	[('local', 'JJ')]	True
polymethylmethacrylate	thermoplastic	33	[('thermoplastic', 'JJ')]	True
hurt	negative	109	[('negative', 'JJ')]	True
fax	electronic	281	[('electronic', 'JJ')]	True
language	academic	69	[('academic', 'JJ')]	True
bosch	large	852	[('large', 'JJ')]	True
basil	classic	86	[('classic', 'JJ')]	True
decane	aliphatic	53	[('aliphatic', 'JJ')]	True
switzerland	western	106	[('western', 'JJ')]	True
sram	volatile	92	[('volatile', 'JJ')]	True
gasoline	strong	145	[('strong', 'JJ')]	True
carrot	fresh	148	[('fresh', 'JJ')]	True
fatigue	physical	686	[('physical', 'JJ')]	True
antique	valuable	127	[('valuable', 'JJ')]	True
wildlife service	federal	114	[('federal', 'JJ')]	True
florence	large	852	[('large', 'JJ')]	True
head	sensitive	195	[('sensitive', 'JJ')]	True
souvenir	personal	635	[('personal', 'JJ')]	True
microcrystalline cellulose	inactive	16	[('inactive', 'JJ')]	True
mental health	sensitive	195	[('sensitive', 'JJ')]	True
pdas	mobile electronic	19	[('mobile', 'JJ'), ('electronic', 'JJ')]	True
compuserve	national	122	[('national', 'JJ')]	True
cardboard boxes	combustible	79	[('combustible', 'JJ')]	True
brass	architectural	54	[('architectural', 'JJ')]	True
social	positive	70	[('positive', 'JJ')]	True
climate change	common	802	[('common', 'JJ')]	True
incontinence garment	disposable	41	[('disposable', 'JJ')]	True
liberalism	political	40	[('political', 'JJ')]	True
guangxi	southern	60	[('southern', 'JJ')]	True
shanghai	large	852	[('large', 'JJ')]	True
newspaper	reliable	7	[('reliable', 'JJ')]	True
lettuce	tiny	10	[('tiny', 'JJ')]	True
temperature	essential	297	[('essential', 'JJ')]	True
kidney	soft	247	[('soft', 'JJ')]	True
soup	healthy	115	[('healthy', 'JJ')]	True
carboxyl	ionizable	6	[('ionizable', 'JJ')]	True
potential	electrical	163	[('electrical', 'JJ')]	True
home	great	178	[('great', 'JJ')]	True
hardness	physical	686	[('physical', 'JJ')]	True
emirates	middle eastern	13	[('middle', 'JJ'), ('eastern', 'JJ')]	True
cleaning supply	essential	297	[('essential', 'JJ')]	True
rho	small	653	[('small', 'JJ')]	True
electronic	durable	64	[('durable', 'JJ')]	True
sedge	herbaceous	14	[('herbaceous', 'JJ')]	True
weight gain	unwanted	45	[('unwanted', 'JJ')]	True
size distribution	basic	667	[('basic', 'JJ')]	True
tank	military	18	[('military', 'JJ')]	True
yahoo	great	178	[('great', 'JJ')]	True
sunlight	external	443	[('external', 'JJ')]	True
free wifi	modern	309	[('modern', 'JJ')]	True
iron	common	802	[('common', 'JJ')]	True
coma	serious	276	[('serious', 'JJ')]	True
unified messaging	advanced	233	[('advanced', 'JJ')]	True
cosmetic	industrial	201	[('industrial', 'JJ')]	True
sexism	controversial	22	[('controversial', 'JJ')]	True
pyridine	tertiary	12	[('tertiary', 'JJ')]	True
paclitaxel	single	74	[('single', 'JJ')]	True
lighting	ancillary	99	[('ancillary', 'JJ')]	True
website	personal	635	[('personal', 'JJ')]	True
depth	local	332	[('local', 'JJ')]	True
arabinose	neutral	42	[('neutral', 'JJ')]	True
acne	cosmetic	64	[('cosmetic', 'JJ')]	True
tcs	indian	58	[('indian', 'JJ')]	True
date	variable	52	[('variable', 'JJ')]	True
traffic	geographical	32	[('geographical', 'JJ')]	True
rain	fresh	148	[('fresh', 'JJ')]	True
alcohol	common	802	[('common', 'JJ')]	True
lyon	large	852	[('large', 'JJ')]	True
differential scanning calorimetry	analytical	77	[('analytical', 'JJ')]	True
street	essential	297	[('essential', 'JJ')]	True
social	geopolitical	12	[('geopolitical', 'JJ')]	True
heptane	suitable	205	[('suitable', 'JJ')]	True
social service	local	332	[('local', 'JJ')]	True
width	microstructural	14	[('microstructural', 'JJ')]	True
earth	natural	709	[('natural', 'JJ')]	True
brick	hard	160	[('hard', 'JJ')]	True
chinese new year	festive	7	[('festive', 'JJ')]	True
influenza	medical	456	[('medical', 'JJ')]	True
eyelid surgery	cosmetic	64	[('cosmetic', 'JJ')]	True
interferon alpha	biological	197	[('biological', 'JJ')]	True
magnet	scientific	55	[('scientific', 'JJ')]	True
spina bifida	medical	456	[('medical', 'JJ')]	True
sand	organic	355	[('organic', 'JJ')]	True
halogen lamp	conventional	429	[('conventional', 'JJ')]	True
shape	geometrical	22	[('geometrical', 'JJ')]	True
amnesty international	nongovernmental	8	[('nongovernmental', 'JJ')]	True
precision	typical	82	[('typical', 'JJ')]	True
qinghai	western	106	[('western', 'JJ')]	True
naoh	basic	667	[('basic', 'JJ')]	True
carrot	hard	160	[('hard', 'JJ')]	True
transfer	financial	212	[('financial', 'JJ')]	True
adult incontinence device	disposable	41	[('disposable', 'JJ')]	True
fine art	valuable	127	[('valuable', 'JJ')]	True
filler	secondary	180	[('secondary', 'JJ')]	True
hexane	aromatic	59	[('aromatic', 'JJ')]	True
hedge fund	professional	165	[('professional', 'JJ')]	True
dielectric strength	electrical	163	[('electrical', 'JJ')]	True
ph	physiochemical	7	[('physiochemical', 'JJ')]	True
soil characteristic	environmental	592	[('environmental', 'JJ')]	True
time management	valuable	127	[('valuable', 'JJ')]	True
sodium carbonate	aqueous	12	[('aqueous', 'JJ')]	True
pit	archaeological	5	[('archaeological', 'JJ')]	True
omega 3 fatty acid	dietary	96	[('dietary', 'JJ')]	True
power window	great	178	[('great', 'JJ')]	True
papaya	large	852	[('large', 'JJ')]	True
videoconferencing	advanced	233	[('advanced', 'JJ')]	True
repeatability	analytical	77	[('analytical', 'JJ')]	True
ethanol	renewable	60	[('renewable', 'JJ')]	True
polyurethane	organic	355	[('organic', 'JJ')]	True
pork	red	28	[('red', 'JJ')]	True
haemorrhage	severe	151	[('severe', 'JJ')]	True
biofuel	renewable	60	[('renewable', 'JJ')]	True
ammonia	incompatible	11	[('incompatible', 'JJ')]	True
e mail	electronic	281	[('electronic', 'JJ')]	True
cinderella	famous	126	[('famous', 'JJ')]	True
new york	big	266	[('big', 'JJ')]	True
adenovirus	viral	54	[('viral', 'JJ')]	True
anxiety	physical	686	[('physical', 'JJ')]	True
dental implant	medical	456	[('medical', 'JJ')]	True
soda	mixed	24	[('mixed', 'JJ')]	True
print	conventional	429	[('conventional', 'JJ')]	True
counselling	clinical	183	[('clinical', 'JJ')]	True
mcdonald s	international	277	[('international', 'JJ')]	True
wine	local	332	[('local', 'JJ')]	True
wells fargo	private	142	[('private', 'JJ')]	True
environment	social	388	[('social', 'JJ')]	True
eyeglass	optical	72	[('optical', 'JJ')]	True
skiing	vigorous	16	[('vigorous', 'JJ')]	True
art gallery	popular	467	[('popular', 'JJ')]	True
health care	complex	256	[('complex', 'JJ')]	True
world bank	reputable	10	[('reputable', 'JJ')]	True
cosmos	easy	5	[('easy', 'JJ')]	True
sepsis	infectious	22	[('infectious', 'JJ')]	True
database	local	332	[('local', 'JJ')]	True
myspace	large	852	[('large', 'JJ')]	True
netherlands	open	86	[('open', 'JJ')]	True
lead	dangerous	53	[('dangerous', 'JJ')]	True
polyvinyl chloride	synthetic	126	[('synthetic', 'JJ')]	True
sodium	biochemical	41	[('biochemical', 'JJ')]	True
fig	fresh	148	[('fresh', 'JJ')]	True
maternal age	demographic	126	[('demographic', 'JJ')]	True
lighter	personal	635	[('personal', 'JJ')]	True
starbucks	large	852	[('large', 'JJ')]	True
golf	local	332	[('local', 'JJ')]	True
mobility	social	388	[('social', 'JJ')]	True
arg	basic	667	[('basic', 'JJ')]	True
proline	secondary	180	[('secondary', 'JJ')]	True
cheddar	soft	247	[('soft', 'JJ')]	True
ambient temperature	climatic	36	[('climatic', 'JJ')]	True
wal-mart	traditional	682	[('traditional', 'JJ')]	True
oxygen	gaseous	27	[('gaseous', 'JJ')]	True
shipping	economic	142	[('economic', 'JJ')]	True
contact information	sensitive	195	[('sensitive', 'JJ')]	True
test result	detailed	63	[('detailed', 'JJ')]	True
accident	sudden	7	[('sudden', 'JJ')]	True
text book	instructional	22	[('instructional', 'JJ')]	True
fever	non-specific	8	[('non-specific', 'JJ')]	True
sedan	civilian	7	[('civilian', 'JJ')]	True
vietnamese	tonal	5	[('tonal', 'JJ')]	True
couch	large	852	[('large', 'JJ')]	True
itraconazole	systemic	124	[('systemic', 'JJ')]	True
audit	fiscal	10	[('fiscal', 'JJ')]	True
paint thinner	combustible	79	[('combustible', 'JJ')]	True
salsa	latin american	12	[('latin', 'JJ'), ('american', 'JJ')]	True
cesium	heavy	207	[('heavy', 'JJ')]	True
tea	tropical	70	[('tropical', 'JJ')]	True
tungsten	strategic	17	[('strategic', 'JJ')]	True
breathing	basic	667	[('basic', 'JJ')]	True
mercury	dangerous	53	[('dangerous', 'JJ')]	True
post office	essential	297	[('essential', 'JJ')]	True
blackberry	popular	467	[('popular', 'JJ')]	True
coordination	physical	686	[('physical', 'JJ')]	True
albumin	auxiliary	74	[('auxiliary', 'JJ')]	True
liability	traditional	682	[('traditional', 'JJ')]	True
crunch	abdominal	18	[('abdominal', 'JJ')]	True
septicemia	serious	276	[('serious', 'JJ')]	True
muscle	physical	686	[('physical', 'JJ')]	True
mindfulness	behavioral	65	[('behavioral', 'JJ')]	True
toluene	typical	82	[('typical', 'JJ')]	True
spermidine	basic	667	[('basic', 'JJ')]	True
mediation	complex	256	[('complex', 'JJ')]	True
polypropylene	synthetic	126	[('synthetic', 'JJ')]	True
parrot	innovative	31	[('innovative', 'JJ')]	True
funding	external	443	[('external', 'JJ')]	True
nickel	essential	297	[('essential', 'JJ')]	True
disseminated intravascular coagulation	serious	276	[('serious', 'JJ')]	True
flooring	combustible	79	[('combustible', 'JJ')]	True
bedding	domestic	82	[('domestic', 'JJ')]	True
kampala	african	36	[('african', 'JJ')]	True
united states	external	443	[('external', 'JJ')]	True
energy security	critical	172	[('critical', 'JJ')]	True
stair	architectural	54	[('architectural', 'JJ')]	True
humidity	ecological	39	[('ecological', 'JJ')]	True
personal digital assistant	electronic	281	[('electronic', 'JJ')]	True
lg	large	852	[('large', 'JJ')]	True
cassava	local	332	[('local', 'JJ')]	True
memory	physical	686	[('physical', 'JJ')]	True
dish	breakable	5	[('breakable', 'JJ')]	True
ford	multinational	53	[('multinational', 'JJ')]	True
organization for security	international	277	[('international', 'JJ')]	True
hyperlipidemia	pathological	80	[('pathological', 'JJ')]	True
slider	conventional	429	[('conventional', 'JJ')]	True
transport	essential	297	[('essential', 'JJ')]	True
soybean	leguminous	10	[('leguminous', 'JJ')]	True
kaolinite	natural	709	[('natural', 'JJ')]	True
password	variable	52	[('variable', 'JJ')]	True
toothbrush	small	653	[('small', 'JJ')]	True
naproxen	non-steroidal	8	[('non-steroidal', 'JJ')]	True
kidney	visceral	10	[('visceral', 'JJ')]	True
iphone	revolutionary	6	[('revolutionary', 'JJ')]	True
telecommunication	industrial	201	[('industrial', 'JJ')]	True
cytokine	extrinsic	42	[('extrinsic', 'JJ')]	True
carnation	white	65	[('white', 'JJ')]	True
catheter	temporary	54	[('temporary', 'JJ')]	True
socio economic status	social	388	[('social', 'JJ')]	True
cinnamon	great	178	[('great', 'JJ')]	True
time management	essential	297	[('essential', 'JJ')]	True
tennis	local	332	[('local', 'JJ')]	True
culture	informal	18	[('informal', 'JJ')]	True
scanner	electronic	281	[('electronic', 'JJ')]	True
officer	traditional	682	[('traditional', 'JJ')]	True
income	demographic	126	[('demographic', 'JJ')]	True
nike	big	266	[('big', 'JJ')]	True
syrah	red	28	[('red', 'JJ')]	True
vitamin d	essential	297	[('essential', 'JJ')]	True
high blood pressure	medical	456	[('medical', 'JJ')]	True
jpmorgan chase	global	202	[('global', 'JJ')]	True
road	infrastructural	10	[('infrastructural', 'JJ')]	True
coconut oil	natural	709	[('natural', 'JJ')]	True
ellipse	basic	667	[('basic', 'JJ')]	True
soybean oil	edible	49	[('edible', 'JJ')]	True
pharmaceutical	industrial	201	[('industrial', 'JJ')]	True
fortran	conventional	429	[('conventional', 'JJ')]	True
acrylic resin	synthetic	126	[('synthetic', 'JJ')]	True
resection	surgical	58	[('surgical', 'JJ')]	True
estrogen	natural	709	[('natural', 'JJ')]	True
administration	strategic	17	[('strategic', 'JJ')]	True
malic acid	organic	355	[('organic', 'JJ')]	True
post traumatic stress disorder	medical	456	[('medical', 'JJ')]	True
concert	free	99	[('free', 'JJ')]	True
certain medication	external	443	[('external', 'JJ')]	True
indigenous people	vulnerable	45	[('vulnerable', 'JJ')]	True
decision tree	traditional	682	[('traditional', 'JJ')]	True
printing	hard	160	[('hard', 'JJ')]	True
viral infection	environmental	592	[('environmental', 'JJ')]	True
saw	electrical	163	[('electrical', 'JJ')]	True
horseback riding	typical	82	[('typical', 'JJ')]	True
fishing	daily	99	[('daily', 'JJ')]	True
ice	local	332	[('local', 'JJ')]	True
facebook	online social	11	[('online', 'JJ'), ('social', 'JJ')]	True
cellular telephone	modern	309	[('modern', 'JJ')]	True
fiber	solid	124	[('solid', 'JJ')]	True
operating temperature	environmental	592	[('environmental', 'JJ')]	True
alcohol	external	443	[('external', 'JJ')]	True
electrolyte	environmental	592	[('environmental', 'JJ')]	True
mortality rate	socio economic	34	[('socio', 'JJ'), ('economic', 'JJ')]	True
peanut butter	nonperishable	8	[('nonperishable', 'JJ')]	True
cat	large	852	[('large', 'JJ')]	True
playing card	social	388	[('social', 'JJ')]	True
stone	impervious	24	[('impervious', 'JJ')]	True
walking	normal	79	[('normal', 'JJ')]	True
clover	leguminous	10	[('leguminous', 'JJ')]	True
medline	bibliographic	9	[('bibliographic', 'JJ')]	True
wine	unwanted	45	[('unwanted', 'JJ')]	True
push up	basic	667	[('basic', 'JJ')]	True
calligraphy	cultural	99	[('cultural', 'JJ')]	True
bank detail	sensitive	195	[('sensitive', 'JJ')]	True
wheat	complex	256	[('complex', 'JJ')]	True
cash	short	21	[('short', 'JJ')]	True
unemployment	socioeconomic	32	[('socioeconomic', 'JJ')]	True
laptop computer	personal	635	[('personal', 'JJ')]	True
picture	private	142	[('private', 'JJ')]	True
capm	financial	212	[('financial', 'JJ')]	True
shelter	essential	297	[('essential', 'JJ')]	True
red hat	commercial	172	[('commercial', 'JJ')]	True
sears	local	332	[('local', 'JJ')]	True
polyurethane	biocompatible	18	[('biocompatible', 'JJ')]	True
ubs	financial	212	[('financial', 'JJ')]	True
mississippi	southern	60	[('southern', 'JJ')]	True
mailing address	personal	635	[('personal', 'JJ')]	True
bread	excessive	8	[('excessive', 'JJ')]	True
house dust mite	common	802	[('common', 'JJ')]	True
valve	ancillary	99	[('ancillary', 'JJ')]	True
herbicide	hazardous	102	[('hazardous', 'JJ')]	True
recognition	intangible	43	[('intangible', 'JJ')]	True
wonder woman	famous	126	[('famous', 'JJ')]	True
demand	external	443	[('external', 'JJ')]	True
glutathione	small	653	[('small', 'JJ')]	True
nitrogen	valuable	127	[('valuable', 'JJ')]	True
dizziness	central	37	[('central', 'JJ')]	True
illness	unexpected	30	[('unexpected', 'JJ')]	True
custody	legal	102	[('legal', 'JJ')]	True
50 cent	popular	467	[('popular', 'JJ')]	True
car accident	severe	151	[('severe', 'JJ')]	True
trust	psychological	106	[('psychological', 'JJ')]	True
sporting event	dynamic	54	[('dynamic', 'JJ')]	True
tank	heavy	207	[('heavy', 'JJ')]	True
clay	basic	667	[('basic', 'JJ')]	True
neural network	complex	256	[('complex', 'JJ')]	True
acidity	environmental	592	[('environmental', 'JJ')]	True
hiv 1	complex	256	[('complex', 'JJ')]	True
singapore	advanced	233	[('advanced', 'JJ')]	True
brochure	free	99	[('free', 'JJ')]	True
polyethylene	common	802	[('common', 'JJ')]	True
customer list	identifiable	13	[('identifiable', 'JJ')]	True
pillow	flammable	80	[('flammable', 'JJ')]	True
ace inhibitor	high	125	[('high', 'JJ')]	True
guava	tropical	70	[('tropical', 'JJ')]	True
graph	illustrative	7	[('illustrative', 'JJ')]	True
financial times	financial	212	[('financial', 'JJ')]	True
gas	nonrenewable	12	[('nonrenewable', 'JJ')]	True
kentucky bluegrass	invasive	67	[('invasive', 'JJ')]	True
html	electronic	281	[('electronic', 'JJ')]	True
gold	hard	160	[('hard', 'JJ')]	True
argon	suitable	205	[('suitable', 'JJ')]	True
flood	extreme climatic	6	[('extreme', 'JJ'), ('climatic', 'JJ')]	True
reebok	global	202	[('global', 'JJ')]	True
social networking	technological	54	[('technological', 'JJ')]	True
trustworthiness	moral	26	[('moral', 'JJ')]	True
septicemia	invasive	67	[('invasive', 'JJ')]	True
synchronization	optional	126	[('optional', 'JJ')]	True
stack	basic	667	[('basic', 'JJ')]	True
lender	third	74	[('third', 'JJ')]	True
migration	global	202	[('global', 'JJ')]	True
western union	flexible	48	[('flexible', 'JJ')]	True
magazine	modern	309	[('modern', 'JJ')]	True
magnetite	heavy	207	[('heavy', 'JJ')]	True
nutritional state	physiological	81	[('physiological', 'JJ')]	True
water	protic	9	[('protic', 'JJ')]	True
hunting	traditional	682	[('traditional', 'JJ')]	True
brazil	economic	142	[('economic', 'JJ')]	True
