animals	animal species,megaherbivores,wide ranging benthivores,large bodied taxa,phocids,vertebrate animal,mega herbivores,amniotes,small wildlife,non mammals
accountants	financial professional,third party auditor,analyst
professionals	professional personnel,experts,professional person,professional worker,industry professional
office workers	non employees,front office staff,professional personnel,professional staff,office staff member
located in firms	coordinate and direct office service,operated office equipment,professional staff
desire balance	practice healthy habit,abandon negative thought and behaviors,practice abnormal eating behavior,experience managing function,enjoy amenity,resilient mean,exhibit trait
increases	expansion,physical change,efficiency gain,change,unimportant change,improvement
acquisitions	asset sale,acquisition scheme,capital purchase,purchase,acquisition process,real estate transaction
agreement	formal agreement,explicit agreement,binding agreement,legal agreement,contractual agreement,bilateral agreement,treaty,instance international agreement,international agreement
property rights	industrial property right,title property,proprietary right,property,equitable title,entitlement
rights	property right,proprietary right,legal right,entitlement,equitable title,constitutional right,privilege,unalienable right,civil right,industrial property right
pproachs	dmards,beenshownthattheadditionofstressfulelements,dmard
companies	giant company,global company,big name company
herbs	herb plant,aromatic herb,astringent herb,herbal plant,demulcent herb,nervine herb,culinary herb
plants	plant species,herbaceous plant,cultivated plant,natural plant,nonvascular plant,epiphytic plant,common plant,oilseed plant,companion plant
rates	rate stat,derivative rate,benchmark rate,speed,rate indicator
speed	rate,velocity metric,gait parameter,temporal gait parameter,full acceleration,relative motion
located in vehicles	mechanical part of the vehicle,interior and exterior automobile component,vehicle component,in car application,vehicle part,automobile component
part of airplanes	aircraft component,aircraft structure,aircraft equipment,airplane subsystem assembly,vehicle part,case aerodynamic part,aerodynamic body component
part of cars	automotive part,vehicle part,interior and exterior automobile component,automobile component,car part,mechanical part of the vehicle,vehicle component,vehicle body panel,interior trim component
part of fuel systems	part of the fuel system,fuel system component,combustion equipment
pedals	motor feature,motorized self balancing device,second motor
used for speed	speed,mean of transport,mean of transportation,form of propulsion,method of transportation,form of transportation,non propel drive,motorized equipment,full acceleration,mean of public transport
valves	pressure control valve,pressure relief valve,check valve,one way valve,rotary valve
gauges	barometer,meter,measurement system,measurement equipment,measurement instrument,measurement device,precision measuring equipment,single function meter,tonometer
products	fram product,product name,high end product
transducers	ratiometric transducer,transceiver,electromagnetic transducer,transducer type,hand held transceivers receivers,hand-held transceiver,pressure transducer technology,ultrasonic transducer
programming language	modern programming language,functional programming language,high level programming language,strictly functional programming language,aspect oriented programming language,level programming language,dynamic programming language,aspect programming language,object oriented programming language
pronunciation	language technique,linguistic expression,aspect of language usage,language feature,language skill,form of language,linguistic phenomenon
cknowledgment	declaration,statement,datum request,personal remittance,receipt,proclamation,notification,custom request,conditional promise,pretreatment
cquisitions	state transfer,debt arrangement,certainconventions
drafts	withdrawls,disturbance process,soil disturbance,process outfall
code	machine readable code,non printable code,production code,code feature,code artifact,error correction code,codecs,variable length code,codec
roads	roadway,public road,local road,highway,modern highway,turnpike,access road,inter city road,expressway
parts	component part,part component,integral part,portion,movable part,spare part,large scale part,component,sometimes small part
happening	naturally occurring event,occurrence,physical event,external event,discrete event
located in envelopes	plain envelope bearing nothing,envelope component,on the day stationery
located in drawers	drawer accessory,small personal item,personal and household item
located in junk mail	plain envelope bearing nothing,personal correspondence,e mail drop folder,mail,non plain text attachment,personal paper,email information,on the day stationery,scrapbooking material
located in offices	typical office equipment,office equipment,basic office equipment,standard office equipment,office tool,modern office equipment,operated office equipment
located in parcels	in kind item,parcel,small goods,non-cash item
located in printers	printer medium,printing material,print source,printed medium
located in trash	trash,trash item,personal waste item,discarded material,food related trash item,discarded item,consumable items,garbage,excess packaging material
clothing	clothes,women s clothing,outer clothing
components	part component,component part,likewise component,component system,unit component,component type,physical component,external component,basic component
criminals	criminals counter measure activity,street criminal,felon
capable of slow traffic	delay sensitive traffic,real time delay sensitive traffic,mean of traffic control
located in roadblock	roadblock,automatic traffic enforcement equipment,delay sensitive traffic
mishap	accident,mishap situation,fiasco,minor accident,unforeseen accident,minor incident
mistakes	error,careless error,systematic error
physical events	external event,skeletal related event,naturally occurring event,stochastic event
musical notation	notation,simple notation,music notation program,graphical notation
daptation	datum transformation,optimisation,planarization,simplification,homogenization,rearrangement,charmmapplications,datum modification,financialrisks,generalization
id	ids es,identi fiers,dmards,colligative property,ev ent
lteration	process intensification concept,adr process,rtis,workersinvolvedintheproductionofresidentialservices,natural attenuation process,thefundmaybeunabletosellcertainsecurities,financialrisks,non adaptive process,accomodation
helpings	food offering,donation,offering,rim offering
located in inns	hotel accommodation offer facility,hotel amenity,guest room amenity,offer clubhouse amenity,standard hotel convenience,top quality inn
located in motels	standard hotel convenience,hotel accommodation offer facility,guest room amenity
located in theaters	theater,theatrical element,large theater,theatrical effect,aspect of theatrical production,theater production,theater technique,stage,live performance,stage prop
settlements	form of non rural settlement,residential community,settler colony,island s settlement
used for comfort	creature comforts,home style comfort,homely comfort,soft fluffy bedding,soft bedding,comfort item,in room amenity,bedroom furniture
used for showers	bath supply,bathroom supply,basic bath amenity,wet room,bath amenity,outdoor leisure spa facility,bath essential,washing facility,bathroom amenity
used for sleep	bed,bedding,sleepwear,soft fluffy bedding,big brand bed
used for sleeping	bed,bedding,big brand bed,soft fluffy bedding,soft bedding
used for stays	bed,hotel accommodation offer facility,good overnight accommodation,guest room amenity,bedding,home style comfort,hotel amenity,sleep clothing
musicians	professional musician,music performer,classical musician,folk musician,musical performer,pianist
ctions	compensatory behavior,consummatory behavior,coroner direct activity
business people	business professional,business leader,business owner,professionals,financier,senior management,corporate indicaters,retail strategist,corporate client
managers	high level manager,top level manager,senior management
giving	material donation,in kind donation,in-kind contribution,donation
accordions	chordophone,acoustic stringed instrument,folk instrument
instruments	conventional instrument,normal instrument,actual working instrument,short term instrument,small instrument,modern instrument,nonderivative instrument,valuable instrument
located in bands	mixed instruments,playing characteristic,band instrument,musical instrument,music device,music instrument,music source
located in music stores	music device,music source,music gear,mixed instruments,music instrument,small musical instrument,musical instrument
musical instruments	music instrument,traditional musical instrument,small musical instrument,elaborate and distinctive musical instrument,stringed musical instrument,electronic musical instrument,widespread instrument,keyboard percussion instrument,mixed instruments
used for fun	fun activity,fun filled activity,fun
used for music	music instrument,musical instrument,elaborate and distinctive musical instrument
used for polka music	musical instrument,percussion instrument,music instrument,small musical instrument,traditional musical instrument
have keyboards	keyboard,compact keyboard,chorded keyboard,portable music system,third party keyboard,small portable electronic,portable computer
accounts	financial account,commercial account,balance sheet account,customer account
financial arrangements	debt arrangement,credit arrangement,financial function,investment structure,investment arrangement,subordinate financing,day to day financial matter,financial contract,treasury dealing
importance	credence attribute,fundamental value,intrinsic value,merit,social value,value
profit	earnings,income,revenue,profitability measure,business cost,trading cost,transaction cost,operating revenue,benefit cost
relationships	personal relationship,social relationship,long term relationship,intimate relationship,financial relationship,mutual relationship,close relationship
statements	declaration,deduction statement,assertion,simple statement,compound statement,vague statement,dcl statement,proposition,truthful claim
have dollars	form of money,dollar store,real money,fake currency,cash,money
responsibility	pa responsibility,complex responsibility,key responsibility,life responsibility,front end responsibility,professional responsibility,human resource management responsibility,family responsibility,customer care responsibility
inheritances	family possession,inheritance pattern,acquisition,title property,entitlement,form of ownership,property
ddition	complex behavior,complex general behavior,mental production,biological behavior,natural attenuation process,mental modification,natural behavior,extremely complex behavior
greement	religious obligation,eternal truth,christian moral value,christian duty
compatibility	cross species relationship,mutual relationship,affiliation,mutual interest,similarity,cooperation logic
business software	enterprise software,popular enterprise software,project management software,application software,enterprise software application
financial programs	personal finance program,investment program,finance package,accounting program,credit management model,government credit program,financial assistance instrument,automatic spending program
explanations	simple explanation,potential explanation,traditional textbook explanation,traditional explanation,clarification,deduction
registers	register file,registry,register setting,inventory,service registry,accounting record
systems	physical system,system concept,complex system,real system,part of the system,interconnected system,asynchronous system,multimaterial system,dynamic system
certifications	industry certification,basic certification,third party certification,quality certification,certification mechanism,professional certification,certification scheme
credentials	certification,qualification,credential property,official qualification
accounting	accounting function,basic accounting function,common accounting function,accounting activity,management accounting technique,financial accounting concept,routine accounting activity,traditional management accounting technique,complex accounting task,financial calculation
antihypertensive	anti epileptic,sedating antihistamine,sedating antidepressant,anti hypertensive agent,antitussive,anticholinergic and antispasmodic medicine,antihypertensive agent,non steroidal anti inflammatory medicine,non steroidal anti inflammatory
content	content element,dynamic content,content type,type of content,content word,static content,content knowledge,content effect,content related aspect
education	formal education,level education,education activity,education related activity,education course,post secondary education,teaching activity,aspect of education,structured educational activity
net incomes	variable income,type of income,income,unearned income
virtue	personal virtue,moral virtue,christian virtue,moral quality,moral attribute,moral value,ethical value,competency,competence
assertions	truthful claim,statement,claim,deduction statement,proposition,argument,attribution,assumption,implication
capable of shade results	light housework,shade,outside lighting,pre built shader,light shade,outdoor lighting,residential lighting
charge	monetary charge,ancillary charge,custom charge,statutory charge
drugs	drugs of abuse,narcotic drug,common drug,narcotic medication,antithyroid drug,chemical drug,sedative drug
compounds	complicated compound,simple compound,secondary compound,chemical constituent
liquids	simple liquid,concentrated liquid,suitable liquid,ordinary liquid,pure liquid
fun	fun activity,fun filled activity,fun event,old fashioned summertime fun,educational and fun activity,fun element,kind of entertainment,popular amusement
located in chemistry labs	chemistry analyte,common laboratory equipment,type of laboratory equipment,laboratory equipment,liquid crystal apparatus,solid state electrochemical device,chemistry basic
located in stomachs	stomach issue,mucus forming food,digestive organ,stomach symptom,stomach ailment,mean of ingestion
chemicals	chemical substance,chemical agent,chemical product,petro chemical,chemical activator,secondary chemical,biopolymers,chemical reagent,industrial chemical,biomaterials
organic compounds	complex organic compound,organic peroxy compound,synthetic organic compound,endogenous organic compound,non polar organic compound,organic cation,organic acid
salt	mineral salt,common salt,simple salt,alkali salt,natural salt,solid salt,stannous salt
carboxylic acid	dicarboxylic acid,hydrocarboxylic acid,monocarboxylic acid
anhydrides	trianhydrides,mixed acid anhydride,acid anhydride
ketones	aliphatic ketone,ketocarotenoids,ketolides,aromatic ketone,alkylamine,dicarboxylates,cyclic ketone,monophenols
solvent	chemical solvent,liquid solvent,physical solvent,aqueous solvent,nonpolar solvent,conventional solvent
toxic substances	toxicants,toxic compound,toxic agent,toxic chemical,toxicant,toxic industrial chemical,persistent toxic chemical,toxic metabolite
neurotransmitters	excitatory neurotransmitter,classical neurotransmitter,brain neurotransmitter,modulatory neurotransmitter,small molecule neurotransmitter,excitatory amino acid neurotransmitter
gases	monatomic gas,inert gas,nonreactive gas,gaseous chemical,inert diluent gas,reactant gas,inert carrier gas,compressible gas
hydrocarbons	non hydrocarbons,hydrofluorocarbon,saturated hydrocarbon,poly halohydrocarbons,cyclic hydrocarbon,light hydrocarbon,halohydrocarbon
discomfort	physical discomfort,minor discomfort,temporary discomfort
pain	physical pain,pain sensation,maladaptive pain,minor pain,nerve pain,physical discomfort,painful feeling,minor discomfort
fruit	tree fruit,seasonal fruit,common fruit,tender fruit,soft fruit,small fruit,ripe fruit
rocks	metamorphic rock,igneous rock,sedimentary rock,foliated metamorphic rock,metasedimentary rock,natural compact rock,porous rock,non foliated metamorphic rock,clastic sedimentary rock,chemical sedimentary rock
genetic diseases	human genetic disease,hematopoietic genetic disease,human genetic disorder,inherited disease,genetic disorder
cid precipitation	precipitation,precipitation characteristic,ghg,form of precipitation,excess moisture,hydrosol,rainfall characteristic,alkali vapor
ir pollution	pollutant emission,type of pollution,pollution,environmental air pollution
rain	precipitation,form of precipitation,rainfall characteristic
part of play	play function,theatrical element,play feature,drama lesson,play style,dramatic theme,dramatic work,play
performance	performance event,performance aspect,fascinating performance,live performance,traditional performance,performance element
part of operas	theatrical element,opera production,dramatic work,dramatic theme,opera,musical theater production,musical theatre production
part of ballet	classical ballet,dance form,popular ballet title,ballet,theatrical folk dance,classical dance
defined as proceeds	action,act,simple action,single action,discrete act,real life action,effective reward,intended movement,human action,coroner direct activity
drama	modern drama,good drama,dramatic work,drama process,sung drama,dramatic programming,medical drama,comedy,drama technique
events	physical event,firm specific event,external event,everyday event,literal event,key event,outside event,identifiable event,manyother event
expression	human expression,non verbal expression,symbolic expression,contrived expression
legal documents	legal documentation,court document,legal form,real estate legal document,legal text,legal instrument,pre decisional document
located in trees	large woody debris,tree material,woody material,feature natural wood characteristic,non woody material
located in forests	feature natural wood characteristic,dead vegetation,forest characteristic,forest type,form of vegetation
located in ground	dirt,small debris,large woody debris
located in roofs	roof surface,roof material,roofing material,roof,common roofing material,natural roofing material,roof element,roof feature
nuts	true nut,organic nut,dry nut,tree nut
part of oak	part of the tree,fruit wood,wood feature,oak tree,trunk,tree characteristic,wood characteristic,preciou wood
seeds	edible seed,herb seed,legume seed
have seeds	edible seed,bear fruit,small whole fruit,large seed,small fruit
sour	concentrated sweet,bitter,savory confit,scrumptious flavor,sweet stuff
pathology	human pathology,ocular pathology,ibd pathology,vascular pathology,serious pathology,scrd associated pathology,skeletal pathology,axillary lymph node pathology,vascular leakage pathology
goals	conventional goal,local goal,intermediate term goal,short term goal,conscious goal,technical goal
messages	personal message,datum message,active message,generic message,rrc message,message based text,message theme,service related message,positive message
located in bathrooms	personal bathroom item,bathroom hardware,bathroom supply,toileting equipment,unattractive bathroom accessory,toilet item
located in cupboards	in ground container,pantry goods,pantry item,basic pantry item,kitchen item,pantry ready ingredient
located in drug stores	generic haptic device,common pharmaceutical carrier,medical product,sometimes prescription medicine
located in drugstores	small toiletry,toiletry item,personal toiletry item,personal toiletry,common pharmaceutical carrier,personal care toiletry,injectables,personal hygiene product,local drug store
located in pharmacies	pharmacists workplaces characteristic,medical product,generic haptic device,therapeutic tool,healthcare specific product,pharmaceutical delivery device,over the counter pain medicine,medical item,over the counter medicine,non drug medical device
located in tubes	small analyte,functional fluid,surgically sterile liquid
medicine	biological medicine,counter medicine,nonprescription medicine
used for teenagers	kids activity,students extracurricular activity,after-school activity,children's activity,extracurricular or leisure activity,extra-curricular activity,extracurricular activity,extra curricular activity,kid activity,offer diversion
bacterial infection	secondary bacterial infection,mycobacterial infection,enteric infection,bacterial and fungal infection,treponemal infection,viral infection,spirochaetal infection
inflammatory diseases	high grade inflammatory disease,untreated inflammatory disease,inflammatory disorder
skin diseases	common skin disease,chronic skin disease,occupational skin disease,inflammatory skin disease,common skin disorder
clergymans	christian cleric,cleric,church fathers,episcopalian minister,churchman
part of acorn squash	winter squash variety,summer squash,squash,winter squash,legume seed,herb seed,vegetable seed
winter squash	summer squash,winter squash variety,squash,dry bean,bean,white bean,dried bean
chromosomes	artificial chromosome,gene sequence,chromatin,complex genome,circular dna,mitochondrial gene
